date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:25	89573/89573	---MCZ	200	added ('OK')	text/html	etag:W/%22a10773ebc5a1832a8934dbf659aa3049%22	https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/website1428777.nicepage.io/Abouta7c9.html	(from )
20:36:25	68/68	---MCZ	200	added ('OK')	text/plain	etag:W/%2297e07e502712fc44f26d1a821f9e53b7%22	https://website1428777.nicepage.io/robots.txt		(from )
20:36:30	1229418/1229418	---MCZ	200	added ('OK')	text/css	etag:W/%22862d536672ee8b92c7759146cb77c6d6%22	https://website1428777.nicepage.io/nicepage.css?version=0a4f77b7-63e3-4197-ba7f-148ecd57e90c	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/website1428777.nicepage.io/nicepagee9d1.css	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:33	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%2245dd4e6dcb5ed31:0%22	http://capp.nicepage.com/assets/jquery-1.9.1.min.js	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/capp.nicepage.com/assets/jquery-1.9.1.min.js	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:36	17053/17053	---M--	200	added ('OK')	image/jpeg	etag:%227ce504bca8f099867accb7d9097eb6b9%22	http://images01.nicepage.com/c461c07a441a5d220e8feb1a/d2e3d0b710535531bb4759db/fgfg.jpg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/c461c07a441a5d220e8feb1a/d2e3d0b710535531bb4759db/fgfg.jpg	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:37	176267/176267	---MCZ	200	added ('OK')	application/javascript	etag:W/%2202d887ca21d81:0%22	http://capp.nicepage.com/811927d206c1c5bd32a9d514af68e7065569e3c1/nicepage.js	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/capp.nicepage.com/811927d206c1c5bd32a9d514af68e7065569e3c1/nicepage.js	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:40	21514/21514	---M--	200	added ('OK')	image/jpeg	etag:%22d214a1ee5f7e4fca429fa6e4a26b845e%22	http://images01.nicepage.com/c461c07a441a5d220e8feb1a/b2d43da24f4b52ff8a5d69df/vbvb.jpg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/c461c07a441a5d220e8feb1a/b2d43da24f4b52ff8a5d69df/vbvb.jpg	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:41	84379/84379	---M--	200	added ('OK')	image/jpeg	etag:%22d0f14964cdbecf86afe9a0ea8b8b4ee1%22	http://images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/34546ffbbfe8574eb8ff9fd8/Untitled-3.jpg	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/images01.nicepage.com/a1389d7bc73adea1e1c1fb7e/34546ffbbfe8574eb8ff9fd8/Untitled-3.jpg	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:41	89573/89573	---MCZ	200	added ('OK')	text/html	etag:W/%22a10773ebc5a1832a8934dbf659aa3049%22	https://website1428777.nicepage.io/About.html	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/website1428777.nicepage.io/About.html	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
20:36:43	153184/153184	---MCZ	200	added ('OK')	text/html	etag:W/%223bf5e210b74d817bdbd138f750b5ceb1%22	https://website1428777.nicepage.io/Home.html	C:/Canadian%20Mental%20Health%202/Canadian%20Mental%20Health%202/website1428777.nicepage.io/Home.html	(from https://website1428777.nicepage.io/About.html?version=20f9a438-e99b-47f5-9d40-789514a41b2f)
